Course ID,Topic Name,Topic Link
5391,Shared memory,http%3A%2F%2Fdbpedia.org%2Fresource%2FShared_memory
5406,operating system,http%3A%2F%2Fdbpedia.org%2Fresource%2FOperating_system
5406,synchronization,http%3A%2F%2Fdbpedia.org%2Fresource%2FSynchronization
5406,concurrency,http%3A%2F%2Fdbpedia.org%2Fresource%2FConcurrent_computing
5406,Memory management,http%3A%2F%2Fdbpedia.org%2Fresource%2FMemory_management
5410,management systems,http%3A%2F%2Fdbpedia.org%2Fresource%2FManagement_system
5410,entity-relationship model,http%3A%2F%2Fdbpedia.org%2Fresource%2FEntity%E2%80%93relationship_model
5410,relational algebra,http%3A%2F%2Fdbpedia.org%2Fresource%2FRelational_algebra
5410,SQL,http%3A%2F%2Fdbpedia.org%2Fresource%2FSQL
5410,integrity constraints,http%3A%2F%2Fdbpedia.org%2Fresource%2FData_integrity
5410,Datalog,http%3A%2F%2Fdbpedia.org%2Fresource%2FDatalog
5410,Semi-structured data,http%3A%2F%2Fdbpedia.org%2Fresource%2FSemi-structured_data
5411,Software development process,http%3A%2F%2Fdbpedia.org%2Fresource%2FSoftware_development_process
5411,Project management,http%3A%2F%2Fdbpedia.org%2Fresource%2FProject_management
5411,Requirements management,http%3A%2F%2Fdbpedia.org%2Fresource%2FRequirements_management
5411,Software quality assurance,http%3A%2F%2Fdbpedia.org%2Fresource%2FSoftware_quality_assurance
5446,computer architecture,http%3A%2F%2Fdbpedia.org%2Fresource%2FComputer_architecture
5446,orchestration,http%3A%2F%2Fdbpedia.org%2Fresource%2FOrchestration
5449,locality,http%3A%2F%2Fdbpedia.org%2Fresource%2FLocality_of_reference
5449,load balancing,http%3A%2F%2Fdbpedia.org%2Fresource%2FWeight_distribution
5449,synchronization,http%3A%2F%2Fdbpedia.org%2Fresource%2FSynchronization
5461,lexical analysis,http%3A%2F%2Fdbpedia.org%2Fresource%2FLexical_analysis
5464,OSI,http%3A%2F%2Fdbpedia.org%2Fresource%2FOSI_model
5464,Internet,http%3A%2F%2Fdbpedia.org%2Fresource%2FInternet_protocol_suite
5464,Ethernet,http%3A%2F%2Fdbpedia.org%2Fresource%2FEthernet
5464,multicast,http%3A%2F%2Fdbpedia.org%2Fresource%2FMulticast
5464,congestion control,http%3A%2F%2Fdbpedia.org%2Fresource%2FNetwork_congestion
5464,UDP,http%3A%2F%2Fdbpedia.org%2Fresource%2FUser_Datagram_Protocol
5464,TCP,http%3A%2F%2Fdbpedia.org%2Fresource%2FTransmission_Control_Protocol
5477,amortized analysis,http%3A%2F%2Fdbpedia.org%2Fresource%2FAmortized_analysis
5477,dynamic programming,http%3A%2F%2Fdbpedia.org%2Fresource%2FDynamic_programming
5477,graph theory,http%3A%2F%2Fdbpedia.org%2Fresource%2FGraph_theory
5477,linear programming,http%3A%2F%2Fdbpedia.org%2Fresource%2FLinear_programming
5477,number theory,http%3A%2F%2Fdbpedia.org%2Fresource%2FNumber_theory
5477,string matching,http%3A%2F%2Fdbpedia.org%2Fresource%2FString_searching_algorithm
5477,computational geometry,http%3A%2F%2Fdbpedia.org%2Fresource%2FComputational_geometry
5482,AI,http%3A%2F%2Fdbpedia.org%2Fresource%2FArtificial_intelligence
5482,First-order logic,http%3A%2F%2Fdbpedia.org%2Fresource%2FFirst-order_logic
5482,Automated reasoning,http%3A%2F%2Fdbpedia.org%2Fresource%2FAutomated_reasoning
5482,heuristic,http%3A%2F%2Fdbpedia.org%2Fresource%2FHeuristic
5482,Knowledge representation,http%3A%2F%2Fdbpedia.org%2Fresource%2FKnowledge_representation_and_reasoning
5482,machine learning,http%3A%2F%2Fdbpedia.org%2Fresource%2FMachine_learning
5482,natural language processing,http%3A%2F%2Fdbpedia.org%2Fresource%2FNatural-language_processing
5483,Feature extraction,http%3A%2F%2Fdbpedia.org%2Fresource%2FFeature_extraction
5483,Bayesian decision theory,http%3A%2F%2Fdbpedia.org%2Fresource%2FBayes_estimator
5483,machine learning,http%3A%2F%2Fdbpedia.org%2Fresource%2FMachine_learning
5484,Intelligent Systems,http%3A%2F%2Fdbpedia.org%2Fresource%2FArtificial_intelligence
5484,Knowledge acquisition,http%3A%2F%2Fdbpedia.org%2Fresource%2FKnowledge_acquisition
5485,Game engine,http%3A%2F%2Fdbpedia.org%2Fresource%2FGame_engine
5485,AI,http%3A%2F%2Fdbpedia.org%2Fresource%2FArtificial_intelligence
5485,non-player character,http%3A%2F%2Fdbpedia.org%2Fresource%2FNon-player_character
5485,AI,http%3A%2F%2Fdbpedia.org%2Fresource%2FArtificial_intelligence
5485,AI,http%3A%2F%2Fdbpedia.org%2Fresource%2FArtificial_intelligence
5486,inverse kinematics,http%3A%2F%2Fdbpedia.org%2Fresource%2FInverse_kinematics
5492,computer science,http%3A%2F%2Fdbpedia.org%2Fresource%2FComputer_science
5620,Statistical Natural Language Processing,http%3A%2F%2Fdbpedia.org%2Fresource%2FStochastic_grammar
5620,natural language processing (NLP),http%3A%2F%2Fdbpedia.org%2Fresource%2FNatural-language_processing
5620,statistical machine translation,http%3A%2F%2Fdbpedia.org%2Fresource%2FStatistical_machine_translation
5620,N-gram,http%3A%2F%2Fdbpedia.org%2Fresource%2FN-gram
5620,word sense disambiguation,http%3A%2F%2Fdbpedia.org%2Fresource%2FWord-sense_disambiguation
5620,part-of-speech tagging,http%3A%2F%2Fdbpedia.org%2Fresource%2FPart-of-speech_tagging
49701,Machine Learning,http%3A%2F%2Fdbpedia.org%2Fresource%2FMachine_learning
49701,machine learning,http%3A%2F%2Fdbpedia.org%2Fresource%2FMachine_learning
49701,maximum likelihood,http%3A%2F%2Fdbpedia.org%2Fresource%2FMaximum_likelihood_estimation
